1	7 
2	27 
3	28 
4	20 
5	27 
6	10 
7	25 
8	14 
9	13 
10	6 
11	27 
12	28 
13	12 
14	6 
15	27 
16	5 
17	2 
18	27 
19	12 
20	27 
21	1 
22	12 
23	30 
24	30 
25	8 
26	16 
27	25 
28	16 
29	11 
30	8 
31	27 
32	29 
33	24 
34	26 
35	30 
36	19 
37	21 
38	10 
39	14 
40	22 
41	20 
42	27 
43	26 
44	31 
45	23 
46	3 
47	10 
48	13 
49	26 
50	13 
51	1 
52	10 
53	27 
54	18 
55	13 
56	10 
57	17 
58	23 
59	26 
60	17 
61	30 
62	25 
63	27 
64	30 
65	25 
66	8 
67	29 
68	30 
69	31 
70	1 
71	20 
72	27 
73	9 
74	2 
75	8 
76	5 
77	12 
78	23 
79	5 
80	18 
81	5 
82	8 
83	18 
84	22 
85	20 
86	14 
87	29 
88	6 
89	21 
90	24 
91	4 
92	1 
93	12 
94	6 
95	22 
96	1 
97	28 
98	9 
99	21 
100	11 
101	25 
102	1 
103	18 
104	3 
105	22 
106	32 
107	13 
108	1 
109	13 
110	30 
111	25 
112	1 
113	13 
114	21 
115	2 
116	6 
117	1 
118	18 
119	7 
120	22 
121	27 
122	28 
123	20 
124	31 
125	27 
126	11 
127	26 
128	7 
129	31 
130	27 
131	3 
132	26 
133	16 
134	32 
135	29 
136	20 
137	23 
138	22 
139	11 
140	17 
141	4 
142	14 
143	15 
144	24 
145	14 
146	26 
147	8 
148	15 
149	7 
150	27 
151	3 
152	8 
153	11 
154	5 
155	12 
156	20 
157	22 
158	24 
159	12 
160	2 
161	10 
162	24 
163	1 
164	19 
165	25 
166	3 
167	23 
168	14 
169	17 
170	11 
171	23 
172	9 
173	7 
174	17 
175	1 
176	24 
177	18 
178	16 
179	19 
180	17 
181	21 
182	19 
183	5 
184	9 
185	4 
186	6 
187	14 
188	11 
189	23 
190	1 
191	19 
192	12 
193	14 
194	25 
195	25 
196	4 
197	19 
198	30 
199	19 
200	17 
201	14 
202	5 
203	7 
204	11 
205	5 
206	1 
207	1 
208	6 
209	8 
210	27 
211	23 
212	28 
213	15 
214	2 
215	28 
216	18 
217	5 
218	16 
219	6 
220	27 
221	3 
222	3 
223	2 
224	5 
225	2 
226	24 
227	32 
228	17 
229	27 
230	2 
231	5 
232	15 
233	2 
234	1 
235	28 
236	10 
237	17 
238	1 
239	4 
240	17 
241	31 
242	16 
243	15 
244	11 
245	22 
246	27 
247	31 
248	25 
249	17 
250	31 
251	13 
252	10 
253	32 
254	2 
255	9 
256	15 
257	4 
258	26 
259	4 
260	19 
261	2 
262	2 
263	24 
264	25 
265	14 
266	14 
267	16 
268	14 
269	28 
270	22 
271	5 
272	7 
273	22 
274	11 
275	5 
276	5 
277	3 
278	13 
279	17 
280	17 
281	21 
282	21 
283	27 
284	14 
285	23 
286	7 
287	28 
288	22 
289	19 
290	13 
291	10 
292	12 
293	30 
294	2 
295	7 
296	21 
297	28 
298	31 
299	6 
300	16 
301	20 
302	8 
303	25 
304	23 
305	21 
306	21 
307	16 
308	22 
309	9 
310	7 
311	19 
312	14 
313	14 
314	23 
315	28 
316	21 
317	28 
318	25 
319	24 
320	18 
321	24 
322	17 
323	18 
324	15 
325	8 
326	18 
327	7 
328	32 
329	29 
330	11 
331	11 
332	11 
333	3 
334	27 
335	17 
336	22 
337	30 
338	25 
339	12 
340	5 
341	20 
342	22 
343	21 
344	8 
345	9 
346	10 
347	2 
348	30 
349	17 
350	29 
351	7 
352	20 
353	7 
354	1 
355	19 
356	18 
357	26 
358	31 
359	12 
360	9 
361	24 
362	12 
363	16 
364	24 
365	30 
366	21 
367	5 
368	32 
369	19 
370	29 
371	2 
372	16 
373	15 
374	4 
375	15 
376	20 
377	27 
378	21 
379	20 
380	10 
381	18 
382	32 
383	12 
384	13 
385	27 
386	18 
387	5 
388	26 
389	10 
390	24 
391	14 
392	15 
393	20 
394	17 
395	10 
396	24 
397	31 
398	19 
399	8 
400	14 
401	13 
402	17 
403	1 
404	10 
405	9 
406	30 
407	31 
408	25 
409	23 
410	4 
411	4 
412	7 
413	18 
414	24 
415	26 
416	23 
417	11 
418	25 
419	24 
420	4 
421	1 
422	14 
423	31 
424	32 
425	18 
426	18 
427	13 
428	8 
429	7 
430	12 
431	1 
432	27 
433	17 
434	5 
435	23 
436	5 
437	6 
438	32 
439	11 
440	25 
441	12 
442	4 
443	3 
444	29 
445	7 
446	29 
447	31 
448	10 
449	20 
450	18 
451	6 
452	9 
453	16 
454	8 
455	25 
456	26 
457	27 
458	25 
459	20 
460	4 
461	17 
462	26 
463	32 
464	12 
465	30 
466	22 
467	27 
468	18 
469	19 
470	7 
471	12 
472	18 
473	20 
474	29 
475	8 
476	10 
477	15 
478	5 
479	10 
480	32 
481	14 
482	10 
483	32 
484	24 
485	24 
486	13 
487	27 
488	21 
489	24 
490	28 
491	29 
492	6 
493	4 
494	25 
495	17 
496	15 
497	10 
498	14 
499	17 
500	17 
501	26 
502	26 
503	17 
504	27 
505	12 
506	5 
507	3 
508	14 
509	6 
510	25 
511	5 
512	11 
513	13 
514	6 
515	1 
516	5 
517	26 
518	7 
519	16 
520	5 
521	14 
522	29 
523	32 
524	12 
525	25 
526	9 
527	15 
528	28 
529	10 
530	4 
531	15 
532	5 
533	26 
534	16 
535	11 
536	16 
537	11 
538	6 
539	4 
540	25 
541	24 
542	5 
543	22 
544	3 
545	17 
546	14 
547	4 
548	28 
549	19 
550	4 
551	25 
552	30 
553	9 
554	26 
555	32 
